date,open,high,low,close,volume,average,barCount,SMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2025-06-13 09:30:00-04:00,527.67,528.67,527.25,528.67,441688.0,527.858,1749,,,,,
2025-06-13 09:31:00-04:00,528.65,529.66,528.65,529.65,317682.0,529.121,1886,,,,,
2025-06-13 09:32:00-04:00,529.65,530.01,529.3,529.63,323640.0,529.69,2028,,,,,
2025-06-13 09:33:00-04:00,529.62,529.99,529.43,529.52,304049.0,529.731,1349,,,,,
2025-06-13 09:34:00-04:00,529.5,529.71,529.34,529.68,133004.0,529.525,800,,,,,
2025-06-13 09:35:00-04:00,529.63,529.75,529.32,529.44,142126.0,529.524,959,,,,,
2025-06-13 09:36:00-04:00,529.4,529.41,529.06,529.16,148692.0,529.228,1024,,,,,
2025-06-13 09:37:00-04:00,529.14,529.55,528.85,529.47,176040.0,529.266,1179,,,,,
2025-06-13 09:38:00-04:00,529.47,529.94,529.33,529.93,125169.0,529.645,783,,,,,
2025-06-13 09:39:00-04:00,529.95,530.26,529.94,530.11,192669.0,530.147,1296,,,,,
2025-06-13 09:40:00-04:00,530.13,530.15,529.31,529.62,145188.0,529.703,962,,,,,
2025-06-13 09:41:00-04:00,529.62,529.92,529.51,529.74,121794.0,529.724,893,,,,,
2025-06-13 09:42:00-04:00,529.75,530.06,529.71,529.92,111745.0,529.917,853,,,,,
2025-06-13 09:43:00-04:00,529.91,530.1,529.6,529.66,120879.0,529.889,842,,,,,
2025-06-13 09:44:00-04:00,529.66,529.89,529.52,529.82,85964.0,529.697,616,,60.90302491112866,,,
2025-06-13 09:45:00-04:00,529.83,529.83,529.06,529.23,148011.0,529.399,1120,,48.178569662558864,,,
2025-06-13 09:46:00-04:00,529.18,529.57,529.07,529.38,95070.0,529.332,713,,50.98255010092365,,,
2025-06-13 09:47:00-04:00,529.38,529.7,529.32,529.48,87161.0,529.506,627,,52.81553157112149,,,
2025-06-13 09:48:00-04:00,529.47,529.62,529.28,529.49,62042.0,529.414,442,,53.00478583700251,,,
2025-06-13 09:49:00-04:00,529.48,529.53,529.18,529.47,68000.0,529.328,510,529.5535,52.55080174398517,,,
2025-06-13 09:50:00-04:00,529.47,530.05,529.28,529.8,178010.0,529.662,1430,529.61,58.81835296015584,,,
2025-06-13 09:51:00-04:00,529.83,530.4,529.5,529.5,147708.0,529.96,1012,529.6025,52.08304609414086,,,
2025-06-13 09:52:00-04:00,529.5,529.8,529.4,529.65,86179.0,529.605,661,529.6034999999999,54.865982057147626,,,
2025-06-13 09:53:00-04:00,529.63,529.8,529.38,529.39,71396.0,529.629,513,529.597,49.49959014563464,,,
